X.1,"Yes, do","No, do not",No opinion
,%,%,%
2024 Oct 1-12,48,47,5
2023 Oct 2-23,42,55,3
2022 Oct 3-20,45,51,4
2021 Oct 1-19,42,55,3
2020 Sep 30-Oct 15,42,55,3
2019 Oct 1-13,37,60,3
2018 Oct 1-10,43,55,2
2017 Oct 5-11,42,56,2
2016 Oct 5-9,39,58,3
2015 Oct 7-11,41,56,2
2014 Oct 12-15,42,53,4
2013 Oct 3-6,37,59,4
2012 Dec 19-22,43,54,3
2011 Oct 6-9,45,53,1
2010 Oct 7-10,39,59,2
2009 Oct 1-4,40,57,4
2008 Oct 3-5,42,56,2
2007 Oct 4-7,42,57,1
2006 Oct 9-12,43,54,3
2005 Oct 13-16,40,59,1
2004 Oct 11-14,38,61,1
2003 Oct 6-8,43,56,1
2002 Oct 14-17,41,58,1
2001 Oct 11-14,40,59,1
2000 Aug 29-Sep 5,39,60,1
2000 Apr 7-9,42,57,1
1999 Apr 26-27,34,64,2
1999 Feb 8-9,36,62,2
1997 Aug 22-25,42,57,1
1996 Nov 21-24,44,54,2
1996 Jul 25-28,38,60,2
1993 Dec 17-21,49,50,*
1993 Oct 13-18,51,48,1
1993 Mar 12-14,48,51,1
1991 May 16-19,46,53,1
1991 Mar 21-24,48,51,1
1990 Sep 10-11,47,52,1
1989 Feb 28-Mar 2,47,51,2
1985 Apr 12-15,44,55,1
1983 May 13-16,40,58,2
1980 Jan 2,45,53,2
1975 Oct 3-6,44,54,2
1972 May 23,43,55,2
1968,50,50,*
1965 Jan 7-12,48,52,*
1959 Jul 23-28,49,51,*