X.1,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Very dissatisfied,No opinion
,%,%,%,%,%
2025 ,10,27,21,37,3
2024,12,19,19,45,4
2023,10,24,23,40,3
2022,13,28,19,37,3
2021,20,22,23,33,2
2020,17,25,19,36,3
2019,15,24,16,40,4
2018,15,24,20,39,2
2017,13,29,23,31,5
2016,9,25,24,38,4
2015,12,30,23,28,6
2014,12,28,20,35,5
2013,12,31,21,30,5
2012,14,36,19,23,8
2008,14,34,23,21,7
2007,17,33,21,22,7
2006,16,32,21,22,9
2005,15,36,21,22,6
2004,14,37,22,23,4
2003,13,34,26,21,6
2002,13,35,24,23,5
2001,10,28,28,29,5